test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
TCONS_00000070	XLOC_000048	SPPL2B	chr19:2328628-2355100	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000071	XLOC_000049	TMPRSS9	chr19:2389783-2427875	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000072	XLOC_000050	GADD45B	chr19:2476122-2478257	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000073	XLOC_000051	THOP1	chr19:2785505-2813599	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000074	XLOC_000052	ZNF554	chr19:2819871-2836733	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000075	XLOC_000053	ZNF555	chr19:2841432-2860472	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000076	XLOC_000053	ZNF555	chr19:2841432-2860472	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000077	XLOC_000054	ZNF556	chr19:2867332-2878501	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000078	XLOC_000055	ZNF57	chr19:2900895-2918474	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000079	XLOC_000056	TLE6	chr19:2977535-2995182	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000080	XLOC_000056	TLE6	chr19:2977535-2995182	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000081	XLOC_000057	GNA11	chr19:3094407-3121454	Adrena	Brain	OK	17464.9	19952.9	0.192137	0.106823	0.9131	0.954605	no
TCONS_00000082	XLOC_000058	GNA15	chr19:3136190-3163766	Adrena	Brain	OK	4096.39	2419.48	-0.759655	-0.315736	0.46185	0.739163	no
TCONS_00000083	XLOC_000059	S1PR4	chr19:3178735-3180330	Adrena	Brain	OK	11699.7	42.4395	-8.10685	-3.41325	0.16015	0.414345	no
TCONS_00000084	XLOC_000060	NCLN	chr19:3185874-3209573	Adrena	Brain	OK	18982.2	6669.63	-1.50897	-1.06756	0.208	0.434909	no
TCONS_00000085	XLOC_000061	CELF5	chr19:3224700-3297073	Adrena	Brain	OK	0	11301.7	inf	-nan	5e-05	0.000383333	yes
TCONS_00000086	XLOC_000061	CELF5	chr19:3224700-3297073	Adrena	Brain	OK	0	549.663	inf	-nan	0.06615	0.21735	no
TCONS_00000087	XLOC_000061	CELF5	chr19:3224700-3297073	Adrena	Brain	OK	0	2377.62	inf	-nan	0.00055	0.0031625	yes
TCONS_00000088	XLOC_000061	CELF5	chr19:3224700-3297073	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000089	XLOC_000061	CELF5	chr19:3224700-3297073	Adrena	Brain	NOTEST	0	217.693	inf	0	1	1	no
TCONS_00000090	XLOC_000062	NFIC	chr19:3359560-3469215	Adrena	Brain	OK	388.365	746.266	0.942278	0.590483	0.55885	0.756091	no
TCONS_00000091	XLOC_000062	NFIC	chr19:3359560-3469215	Adrena	Brain	OK	472.844	1254.15	1.40727	0.964586	0.32015	0.566419	no
TCONS_00000092	XLOC_000062	NFIC	chr19:3359560-3469215	Adrena	Brain	OK	384.432	451.176	0.230962	0.126075	0.9057	0.954605	no
TCONS_00000093	XLOC_000062	NFIC	chr19:3359560-3469215	Adrena	Brain	OK	8784.36	5201.3	-0.756067	-1.83572	0.0639	0.21735	no
TCONS_00000094	XLOC_000062	NFIC	chr19:3359560-3469215	Adrena	Brain	OK	11488	15072.1	0.391758	1.32755	0.18015	0.414345	no
TCONS_00000095	XLOC_000062	NFIC	chr19:3359560-3469215	Adrena	Brain	OK	9795.04	9243.82	-0.0835618	-0.240564	0.8047	0.95427	no
TCONS_00000096	XLOC_000063	FZR1	chr19:3506294-3536755	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000097	XLOC_000063	FZR1	chr19:3506294-3536755	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000098	XLOC_000063	FZR1	chr19:3506294-3536755	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000099	XLOC_000063	FZR1	chr19:3506294-3536755	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000100	XLOC_000063	FZR1	chr19:3506294-3536755	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000101	XLOC_000064	C19orf71	chr19:3538262-3557571	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000102	XLOC_000065	HMG20B	chr19:3572942-3579081	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000103	XLOC_000066	GIPC3	chr19:3585568-3593539	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000104	XLOC_000067	C19orf29-AS1	chr19:3607244-3626813	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000105	XLOC_000068	TJP3	chr19:3728373-3750682	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000106	XLOC_000069	MRPL54	chr19:3762664-3767563	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000107	XLOC_000070	ATCAY	chr19:3880617-3928080	Adrena	Brain	NOTEST	0	6.11235	inf	0	1	1	no
TCONS_00000108	XLOC_000071	ITGB1BP3	chr19:3933100-3942414	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000109	XLOC_000072	PIAS4	chr19:4007748-4038067	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000110	XLOC_000073	CREB3L3	chr19:4153628-4173048	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000111	XLOC_000074	ANKRD24	chr19:4183350-4224811	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000112	XLOC_000075	EBI3	chr19:4229539-4237524	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000113	XLOC_000076	CCDC94	chr19:4247110-4269085	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000114	XLOC_000077	SHD	chr19:4278597-4290720	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000115	XLOC_000078	FSD1	chr19:4304590-4323843	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000116	XLOC_000079	MPND	chr19:4343523-4360083	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000117	XLOC_000079	MPND	chr19:4343523-4360083	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000118	XLOC_000080	CHAF1A	chr19:4402659-4443394	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000119	XLOC_000081	MIR4746	chr19:4445002-4457791	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000120	XLOC_000082	HDGFRP2	chr19:4472254-4517716	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000121	XLOC_000082	HDGFRP2	chr19:4472254-4517716	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000122	XLOC_000083	TNFAIP8L1	chr19:4639526-4655580	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000123	XLOC_000083	TNFAIP8L1	chr19:4639526-4655580	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000124	XLOC_000084	LOC100131094	chr19:4675243-4723855	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000125	XLOC_000085	MIR7-3HG	chr19:4769116-4772568	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000126	XLOC_000086	MIR7-3	chr19:4769116-4772568	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000127	XLOC_000087	FEM1A	chr19:4791727-4795571	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000128	XLOC_000088	UHRF1	chr19:4909509-4962165	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000129	XLOC_000088	UHRF1	chr19:4909509-4962165	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000130	XLOC_000089	MIR4747	chr19:4909509-4962165	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000131	XLOC_000090	KDM4B	chr19:4969123-5153608	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000132	XLOC_000091	ZNRF4	chr19:5455425-5456867	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000133	XLOC_000092	SAFB	chr19:5623045-5668489	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000134	XLOC_000092	SAFB	chr19:5623045-5668489	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000135	XLOC_000092	SAFB	chr19:5623045-5668489	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000136	XLOC_000092	SAFB	chr19:5623045-5668489	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000137	XLOC_000092	SAFB	chr19:5623045-5668489	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000138	XLOC_000092	SAFB	chr19:5623045-5668489	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000139	XLOC_000092	SAFB	chr19:5623045-5668489	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000140	XLOC_000093	HSD11B1L	chr19:5681034-5688533	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000141	XLOC_000093	HSD11B1L	chr19:5681034-5688533	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000142	XLOC_000093	HSD11B1L	chr19:5681034-5688533	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000143	XLOC_000093	HSD11B1L	chr19:5681034-5688533	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000144	XLOC_000093	HSD11B1L	chr19:5681034-5688533	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000145	XLOC_000093	HSD11B1L	chr19:5681034-5688533	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000146	XLOC_000094	RPL36	chr19:5690271-5691678	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000147	XLOC_000094	RPL36	chr19:5690271-5691678	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000148	XLOC_000095	CATSPERD	chr19:5720687-5778742	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000149	XLOC_000096	NRTN	chr19:5823817-5828335	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000150	XLOC_000097	VMAC	chr19:5904851-5910263	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000151	XLOC_000098	CAPS	chr19:5914192-5978320	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000152	XLOC_000098	CAPS	chr19:5914192-5978320	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000153	XLOC_000099	LOC100128568	chr19:5978413-6110664	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000154	XLOC_000100	ACSBG2	chr19:6135709-6193112	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000155	XLOC_000101	CLPP	chr19:6361462-6368915	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000156	XLOC_000102	ALKBH7	chr19:6372443-6375261	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000157	XLOC_000103	CRB3	chr19:6464259-6481798	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000158	XLOC_000103	CRB3	chr19:6464259-6481798	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000159	XLOC_000104	TNFSF9	chr19:6531009-6535939	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000160	XLOC_000105	TRIP10	chr19:6739706-6751529	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000161	XLOC_000106	VAV1	chr19:6772721-6857371	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000162	XLOC_000107	EMR1	chr19:6887559-6940464	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000163	XLOC_000107	EMR1	chr19:6887559-6940464	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000164	XLOC_000107	EMR1	chr19:6887559-6940464	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000165	XLOC_000107	EMR1	chr19:6887559-6940464	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000166	XLOC_000107	EMR1	chr19:6887559-6940464	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000167	XLOC_000107	EMR1	chr19:6887559-6940464	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000168	XLOC_000108	MBD3L5	chr19:7030593-7033022	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000169	XLOC_000109	MBD3L2	chr19:7049350-7051746	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000170	XLOC_000110	ZNF557	chr19:7069470-7087978	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000171	XLOC_000110	ZNF557	chr19:7069470-7087978	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000172	XLOC_000110	ZNF557	chr19:7069470-7087978	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000173	XLOC_000111	ARHGEF18	chr19:7459998-7537371	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000174	XLOC_000111	ARHGEF18	chr19:7459998-7537371	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000175	XLOC_000112	C19orf45	chr19:7562444-7573336	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000176	XLOC_000113	ZNF358	chr19:7581003-7585911	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000177	XLOC_000114	MCOLN1	chr19:7587495-7598895	Adrena	Brain	NOTEST	12.6361	0	-inf	0	1	1	no
TCONS_00000178	XLOC_000115	PNPLA6	chr19:7599037-7626653	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000179	XLOC_000115	PNPLA6	chr19:7599037-7626653	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000180	XLOC_000115	PNPLA6	chr19:7599037-7626653	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000181	XLOC_000115	PNPLA6	chr19:7599037-7626653	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000182	XLOC_000115	PNPLA6	chr19:7599037-7626653	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000183	XLOC_000115	PNPLA6	chr19:7599037-7626653	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000184	XLOC_000115	PNPLA6	chr19:7599037-7626653	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000185	XLOC_000115	PNPLA6	chr19:7599037-7626653	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000186	XLOC_000116	CAMSAP3	chr19:7660787-7683196	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000187	XLOC_000116	CAMSAP3	chr19:7660787-7683196	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000188	XLOC_000117	C19orf79	chr19:7694670-7698570	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000189	XLOC_000117	C19orf79	chr19:7694670-7698570	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000190	XLOC_000118	STXBP2	chr19:7701990-7712759	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000191	XLOC_000118	STXBP2	chr19:7701990-7712759	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000192	XLOC_000119	RETN	chr19:7733971-7735340	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000193	XLOC_000119	RETN	chr19:7733971-7735340	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000194	XLOC_000120	C19orf59	chr19:7741942-7744719	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000195	XLOC_000121	TRAPPC5	chr19:7745706-7747748	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000196	XLOC_000121	TRAPPC5	chr19:7745706-7747748	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000197	XLOC_000121	TRAPPC5	chr19:7745706-7747748	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000198	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000199	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000200	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000201	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000202	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000203	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000204	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000205	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000206	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000207	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000208	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000209	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000210	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000211	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000212	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
TCONS_00000213	XLOC_000122	CLEC4M	chr19:7828034-7834491	Adrena	Brain	NOTEST	0	0	0	0	1	1	no
